Algorithm,Run,Time (ms),R,Latitude,Longitude,ax,ay,az
Cunningham,34,13.5708,6.45285e+06,-55.6818,-127.589,3.27953,4.26015,7.90111
Stokes_1thread,34,13.4197,6.45285e+06,-55.6818,-127.589,3.27953,4.26014,7.90111
Stokes_multithread,34,13.641,6.45285e+06,-55.6818,-127.589,3.27953,4.26014,7.90111
Belikov,35,13.4217,6.20125e+06,47.8653,-115.272,2.9597,6.2694,-7.68982
Cunningham,35,13.4281,6.20125e+06,47.8653,-115.272,2.9597,6.26942,-7.68982
Stokes_1thread,35,13.5123,6.20125e+06,47.8653,-115.272,2.9597,6.2694,-7.68982
Stokes_multithread,35,13.5858,6.20125e+06,47.8653,-115.272,2.9597,6.2694,-7.68982
Belikov,36,13.3491,6.36544e+06,-4.03279,125.476,5.7044,-8.00449,0.695365
Cunningham,36,13.4078,6.36544e+06,-4.03279,125.476,5.7044,-8.00454,0.695365
Stokes_1thread,36,13.3949,6.36544e+06,-4.03279,125.476,5.7044,-8.00449,0.695365
Stokes_multithread,36,13.4761,6.36544e+06,-4.03279,125.476,5.7044,-8.00449,0.695365
Belikov,37,13.4341,6.60024e+06,41.0783,-129.559,4.38498,5.30827,-6.01979
Cunningham,37,13.4366,6.60024e+06,41.0783,-129.559,4.38498,5.3083,-6.01979
Stokes_1thread,37,13.3699,6.60024e+06,41.0783,-129.559,4.38498,5.30827,-6.01979
Stokes_multithread,37,13.6168,6.60024e+06,41.0783,-129.559,4.38498,5.30827,-6.01979
Belikov,38,13.4138,6.76213e+06,27.9733,83.3922,-0.885755,-7.64627,-4.09992
Cunningham,38,13.4218,6.76213e+06,27.9733,83.3922,-0.885755,-7.64623,-4.09992
Stokes_1thread,38,13.3915,6.76213e+06,27.9733,83.3922,-0.885755,-7.64627,-4.09992
Stokes_multithread,38,13.7342,6.76213e+06,27.9733,83.3922,-0.885755,-7.64627,-4.09992
Belikov,39,13.3884,6.38259e+06,-35.0259,133.54,5.51346,-5.80204,5.62819
Cunningham,39,13.3777,6.38259e+06,-35.0259,133.54,5.51346,-5.80198,5.62819
Stokes_1thread,39,13.3495,6.38259e+06,-35.0259,133.54,5.51346,-5.80204,5.62819
Stokes_multithread,39,13.7015,6.38259e+06,-35.0259,133.54,5.51346,-5.80204,5.62819
Belikov,40,13.3894,6.72092e+06,34.3597,10.4863,-7.1568,-1.32472,-4.99059
